agrn,measure_id,measure_name,category,category_verified,source_id,page_or_section,document_date,first_approval_date,geographic_scope,verified_geographic_locations,decision_unit,negative_eligibility_verified,measure_inventory_complete,notes,source_url,verification_status
1088,1088_M04,Monitoring and Evaluation,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1088,1088_M05,Tourism Recovery and Resilience Program,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1088,1088_M06,Wujal Wujal Aboriginal Shire Council Targeted Assistance Package,C,True,activation_1088,PDF p3 category table; activation matrix on preceding pages,2025-01-16,,Funding explicitly directed to Wujal Wujal Aboriginal Shire Council; other all-C LGAs need not receive this measure,Wujal Wujal,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-01/Version_18_Activation_Summary_for_Tropical_Cyclone_Jasper_associated_rainfall_and_flooding_13_28_December_2023.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M01,Community Relief Fund,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M02,Community and Recreational Assets,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M03,Community Health and Wellbeing,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M04,Exceptional Recovery Grants for Primary Producers,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M05,Exceptional Recovery Grants for Small Business and Not-For-Profits,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M06,Legal Assistance Recovery,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1195,1195_M07,Mental Health Support,C,True,activation_1195,PDF p4 category table; activation matrix on preceding pages,2025-07-02,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V16_Activation_Summary_Tropical_Cyclone_Alfred_and_Associated_Severe_Weather_1_March_to_16_March_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M01,Community Relief Fund,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M02,Exceptional Recovery Grants for Primary Producers,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M03,Exceptional Recovery Grants for Small Business and Not-For-Profits,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M04,Mental Health Program,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M05,Community Health and Wellbeing Program,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M06,Primary Producer Industry Support Program,C,True,activation_1174,PDF p5 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M07,Small Business and Tourism and Industry Support Program,C,True,activation_1174,PDF p6 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M08,Community and Recreational Assets Program,C,True,activation_1174,PDF p6 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M09,Sport and Recreational Assets Program,C,True,activation_1174,PDF p6 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M10,Monitoring and Evaluation Program,C,True,activation_1174,PDF p6 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1174,1174_M11,Legal Assistance Disaster Relief Program,C,True,activation_1174,PDF p6 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V22_Activation_Summary_North_and_Far_North_Tropical_Low_29_January_to_28_February_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1202,1202_M01,Community Health and Wellbeing,C,True,activation_1202,PDF p4 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1202,1202_M02,Community Relief Fund,C,True,activation_1202,PDF p4 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1202,1202_M03,Exceptional Recovery Grants for Primary Producers,C,True,activation_1202,PDF p4 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1202,1202_M04,Exceptional Recovery Grants for Small Business and Not-for-Profit,C,True,activation_1202,PDF p4 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1202,1202_M05,Mental Health Recovery Program,C,True,activation_1202,PDF p4 category table; activation matrix on preceding pages,2025-07-23,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2025-07/V24_Activation_Summary_Western_Queensland_Surface_Trough_Associated_Rainfall_and_Flooding_21_March_to_19_May_2025.PDF,CATEGORY_VERIFIED_SCOPE_PARTIAL
1243,1243_M01,Exceptional Recovery Grants for Small Businesses and Not-For-Profit Organisations,C,True,activation_1243,PDF p7 category table; activation matrix on preceding pages,2026-07-09,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2026-07/V61_Activation_Summary_Queensland_Monsoon_Trough_Cyclone_Koji_Cyclone_Narelle_and_Severe_Weather_24_December_2025_to_24_April_2026.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1243,1243_M02,Mental Health Recovery Package,C,True,activation_1243,PDF p7 category table; activation matrix on preceding pages,2026-07-09,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2026-07/V61_Activation_Summary_Queensland_Monsoon_Trough_Cyclone_Koji_Cyclone_Narelle_and_Severe_Weather_24_December_2025_to_24_April_2026.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1243,1243_M03,Community Relief Fund including uplifts,C,True,activation_1243,PDF p7 category table; activation matrix on preceding pages,2026-07-09,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2026-07/V61_Activation_Summary_Queensland_Monsoon_Trough_Cyclone_Koji_Cyclone_Narelle_and_Severe_Weather_24_December_2025_to_24_April_2026.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
1243,1243_M04,Primary Producer Support Package,C,True,activation_1243,PDF p7 category table; activation matrix on preceding pages,2026-07-09,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Category verified from official table; not every program maps to a council allocation. Location-specific need/selection denominators remain unresolved.,https://www.qra.qld.gov.au/sites/default/files/2026-07/V61_Activation_Summary_Queensland_Monsoon_Trough_Cyclone_Koji_Cyclone_Narelle_and_Severe_Weather_24_December_2025_to_24_April_2026.pdf,CATEGORY_VERIFIED_SCOPE_PARTIAL
950,950_M01,Wooroloo recovery package: clean-up and community recovery,UNRESOLVED,False,wa950,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://dfes.wa.gov.au/annualreport2021/wooroloo-bushfire/,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
954,954_M01,Primary producer and small business recovery grants,UNRESOLVED,False,nsw954,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/New-South-Wales/north-coast-storms-floods-19-february-2021.aspx,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
960,960_M01,Recovery grants and community infrastructure / wellbeing programs,UNRESOLVED,False,nsw960,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/New-South-Wales/storms-floods-10-March-2021-onwards.aspx,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
965,965_M01,Seroja recovery assistance; category-to-measure reconciliation incomplete,UNRESOLVED,False,wa965,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.dfes.wa.gov.au/annualreport2021/tropical-cyclone-seroja/,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
984,984_M01,Storm primary producer clean-up / reinstatement grant,UNRESOLVED,False,sa984,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://business.sa.gov.au/news/storm-recovery-grants-available,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
986,986_M01,Shared 2021–22 Queensland recovery package,UNRESOLVED,False,qra_6,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2021-22-queensland-rainfall-and-flooding-exceptional-circumstances-package,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
994,994_M01,Shared 2021–22 Queensland recovery package,UNRESOLVED,False,qra_6,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2021-22-queensland-rainfall-and-flooding-exceptional-circumstances-package,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
1011,1011_M01,Shared 2021–22 Queensland recovery package,UNRESOLVED,False,qra_6,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2021-22-queensland-rainfall-and-flooding-exceptional-circumstances-package,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
1012,1012_M01,NSW flood recovery package; exact C inventory unresolved,UNRESOLVED,False,nsw1012,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/New-South-Wales/nth-nsw-floods-22-february-2022.aspx,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
1020,1020_M01,Shared 2021–22 Queensland recovery package,UNRESOLVED,False,qra_6,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2021-22-queensland-rainfall-and-flooding-exceptional-circumstances-package,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
1037,1037_M01,Business/community sport recovery grants; council recovery programs,UNRESOLVED,False,vic1037_business,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,Official event evidence recovered; complete Category C measure inventory and eligible nonrecipient risk set NOT certified.,https://business.vic.gov.au/grants-and-programs/business-and-community-sport-flood-recovery-grants/frequently-asked-questions,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
1038,1038_M01,Emergency Response Grant for Primary Producers,UNRESOLVED,False,tas1038_pp,HTML program / eligibility section,,,Geographic scope and eligibility not fully reconstructed,,event-state-measure with geographic scope; beneficiary/provider eligibility differs,False,False,"Official primary-producer page lists 18 LGAs including Glamorgan-Spring Bay; CSV C is 17/18. Category mapping not established; potential discrepancy, not an automatic correction.",https://alert.tas.gov.au/recovery/financial-support-small-business-primary-producer,EVENT_PROGRAM_FOUND_CATEGORY_UNRESOLVED
