council_key,council_name,included,in_2015_full_year_list,reason,boundary_certification,evidence
cabonne,Cabonne,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
camden,Camden,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
campbelltown,Campbelltown,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
canadabay,Canada Bay,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
canterburybankstown,Canterbury-Bankstown,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
carrathool,Carrathool,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
centralcoast,Central Coast,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
centraldarling,Central Darling,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
cessnock,Cessnock,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
clarencevalley,Clarence Valley,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
cobar,Cobar,False,True,Excluded: Original source boundary-change flag: conservative exclusion pending transfer/period reconciliation,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
coffsharbour,Coffs Harbour,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
coolamon,Coolamon,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
coonamble,Coonamble,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
cootamundragundagai,Cootamundra-Gundagai Regional,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
cowra,Cowra,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
cumberland,Cumberland,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
dubbo,Dubbo Regional,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
dungog,Dungog,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
edwardriver,Edward River,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
eurobodalla,Eurobodalla,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
fairfield,Fairfield,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
federation,Federation,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
forbes,Forbes,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
georgesriver,Georges River,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
gilgandra,Gilgandra,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
gleninnessevern,Glen Innes Severn,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
goulburnmulwaree,Goulburn Mulwaree,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
greaterhume,Greater Hume,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
griffith,Griffith,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
gunnedah,Gunnedah,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
gwydir,Gwydir,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
hawkesbury,Hawkesbury,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
hay,Hay,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
hills,Hills,False,True,Excluded: 2016 transfer to Parramatta; continuing legal entity is not constant boundary,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
hilltops,Hilltops,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
hornsby,Hornsby,False,True,Excluded: 2016 transfer to Parramatta; continuing legal entity is not constant boundary,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
huntershill,Hunters Hill,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
innerwest,Inner West,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
inverell,Inverell,False,True,Excluded: Original source boundary-change flag: conservative exclusion pending transfer/period reconciliation,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
junee,Junee,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
kempsey,Kempsey,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
kiama,Kiama,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
kuringgai,Ku-ring-gai,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
kyogle,Kyogle,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lachlan,Lachlan,False,True,Excluded: Original source boundary-change flag: conservative exclusion pending transfer/period reconciliation,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lakemacquarie,Lake Macquarie,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lanecove,Lane Cove,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
leeton,Leeton,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lismore,Lismore,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lithgow,Lithgow,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
liverpool,Liverpool,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
liverpoolplains,Liverpool Plains,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
lockhart,Lockhart,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
maitland,Maitland,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
midcoast,Mid-Coast,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
midwestern,Mid-Western Regional,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
moreeplains,Moree Plains,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
mosman,Mosman,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
murrayriver,Murray River,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
murrumbidgee,Murrumbidgee (new),False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
muswellbrook,Muswellbrook,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
nambuccavalley,Nambucca,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
narrabri,Narrabri,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
narrandera,Narrandera,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
narromine,Narromine,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
newcastle,Newcastle,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
northernbeaches,Northern Beaches,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
northsydney,North Sydney,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
oberon,Oberon,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
orange,Orange,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
parkes,Parkes,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
parramatta,Parramatta (new),False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
penrith,Penrith,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
portmacquariehastings,Port Macquarie-Hastings,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
portstephens,Port Stephens,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
queanbeyanpalerang,Queanbeyan-Palerang Regional,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
randwick,Randwick,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
richmondvalley,Richmond Valley,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
ryde,Ryde,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
shellharbour,Shellharbour,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
shoalhaven,Shoalhaven,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
singleton,Singleton,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
snowymonaro,Snowy Monaro Regional,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
snowyvalleys,Snowy Valleys,False,False,Excluded: absent from official 2015–16 full-year continuing-council list; do not splice amalgamated predecessors,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
strathfield,Strathfield,True,True,Included: OLG full-year continuing list; all historical names matched; no identified transfer/flag,Conservative legal/entity screen; not cadastral polygon identity certification,2015–16 DATA A3; Audit Office 2017 amalgamation appendix; Parramatta/Hornsby/The Hills official boundary records; original boundary flags
