path,rows,columns,column_names,candidate_columns,read_status
Experiment 2/results/held_out_predictions.csv,27704.0,13.0,target|history|test_year|prior_year|event_year|council_key|spec|model|observed|predicted|prior_value|prior_operating_regime|target_operating_regime,,read
Experiment 2/results/fold_samples_and_exclusions.csv,78.0,28.0,target|history|test_year|test_fy|status|train_candidate_n|train_n|train_excluded_n|test_candidate_n|test_n|test_excluded_n|training_target_years|train_target_max|embargoed_eligible_rows|test_excluded__no_exact_prior_year|test_excluded__missing_target|train_excluded__missing_target|test_excluded__missing_eligible_persistence|train_excluded__missing_eligible_persistence|test_excluded__no_exact_target_year|test_excluded__outside_history_window|train_excluded__outside_history_window|test_excluded__cash_definition_not_comparable|train_excluded__cash_definition_not_comparable|test_excluded__maintenance_prior_conflict|test_excluded__maintenance_target_conflict|train_excluded__maintenance_prior_conflict|train_excluded__maintenance_target_conflict,train_candidate_n|test_candidate_n|test_excluded__maintenance_prior_conflict|test_excluded__maintenance_target_conflict|train_excluded__maintenance_prior_conflict|train_excluded__maintenance_target_conflict,read
Experiment 2/results/row_eligibility.csv,4017.0,6.0,council_key|prior_year|event_year|target_year|exclusion_reason|target,,read
Experiment 2/results/NSW_Matched_Fiscal_Disaster_V2.csv,1339.0,128.0,council_key|council_name|year_start|financial_year|period_start|period_end|reporting_months|reporting_period_evidence|source_file|source_sheet|source_excel_row|fiscal_historical_extension|operating_ratio_pct|cash_cover_reported_months|current_ratio|own_source_pct|grants_pct|debt_service_cover|debt_service_ratio_pct|actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|total_revenue_including_capital_aud|total_expenses_aud|result_before_capital_aud|residential_rates_aud|farmland_rates_aud|business_rates_aud|mining_rates_aud|population|area_km2|road_reported_km|cash_cover_months|cash_definition_status|operating_definition_regime|debt_service_cover_requires_review|road_scope|road_km|maintenance_gap_aud|maintenance_calculated_pct|maintenance_difference_pp|maintenance_conflict|maintenance_ratio_pct|maintenance_basis|legacy_fesm_burned_ha|legacy_fesm_burned_pct_raw|legacy_fesm_extent_only_ha|legacy_fesm_min_fire_size_ha_exclusive|legacy_fesm_source_file|legacy_fesm_excel_total_row|legacy_fesm_status|legacy_boundary_change_flag|legacy_boundary_compatibility|legacy_physical_flood_status|legacy_verified_zero_all_disaster_exposure|legacy_bushfire_declared_event_count|legacy_bushfire_agrns|legacy_bushfire_declaration_status|legacy_flood_declared_event_count|legacy_flood_agrns|legacy_flood_declaration_status|legacy_all_declared_event_count|legacy_all_declaration_status|legacy_source_list_disagreement_count|legacy_open_ended_onset_event_count|legacy_known_prior_year_carryover_count|legacy_prior_fy_declared_event_count|legacy_direct_infrastructure_damage_documented|legacy_direct_infrastructure_evidence_ids|legacy_exposure_coverage_status|rates_annual_charges_aud|user_charges_fees_aud|other_revenue_aud|operating_grants_aud|capital_grants_aud|interest_investment_aud|employee_cost_aud|materials_services_aud|borrowing_cost_aud|depreciation_impairment_aud|other_expense_aud|statement_total_revenue_aud|statement_total_expenses_aud|operating_revenue_ex_capital_aud|candidate_only|strict_asof_predictor_panel|exposure_historical_extension|exposure_provenance|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_status|fesm_sensor|fesm_boundary_vintage|fesm_area_method|fesm_source_file|fesm_source_member|fesm_excel_total_row|fesm_asof_forecast_status|declaration_inventory_status|declaration_regime|declaration_source_files|declaration_asof_forecast_status|physical_flood_status|flood_inundated_ha|verified_zero_all_disaster_exposure|bushfire_declared|bushfire_declared_event_count|bushfire_observed_event_count|bushfire_count_is_lower_bound|bushfire_declaration_status|bushfire_event_ids|bushfire_agrns|flood_declared|flood_declared_event_count|flood_observed_event_count|flood_count_is_lower_bound|flood_declaration_status|flood_event_ids|flood_agrns|all_declared|all_declared_event_count|all_observed_event_count|all_count_is_lower_bound|all_declaration_status|all_event_ids|all_agrns,actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|maintenance_gap_aud|maintenance_calculated_pct|maintenance_difference_pp|maintenance_conflict|maintenance_ratio_pct|maintenance_basis|candidate_only|flood_inundated_ha,read
Experiment 2/results/input_coverage.csv,143.0,6.0,variable|year|rows|known|zero|missing,,read
Experiment 2/results/ridge_tuning_audit.csv,828.0,8.0,target|spec|history|outer_year|inner_year|alpha|MAE|validation_n,,read
Experiment 2/results/matched_history_comparison.csv,104.0,14.0,target|spec|model|period|n|years|long_MAE|long_RMSE|long_R2|short_MAE|short_RMSE|short_R2|MAE_improvement_with_longer_history|RMSE_improvement_with_longer_history,,read
Experiment 2/results/aligned_forecasting_panel.csv,1339.0,33.0,council_key|council_name|event_year|fesm_burned_ha__event|bushfire_declared__event|flood_declared__event|fesm_status__event|fesm_min_fire_size_ha_exclusive__event|fesm_sensor__event|bushfire_declaration_status__event|flood_declaration_status__event|year_start__prior|operating_ratio_pct__prior|cash_cover_months__prior|current_ratio__prior|own_source_pct__prior|debt_service_cover__prior|maintenance_ratio_pct__prior|population__prior|road_km__prior|reporting_months__prior|cash_definition_status__prior|maintenance_conflict__prior|operating_definition_regime__prior|year_start__future|operating_ratio_pct__future|cash_cover_months__future|maintenance_ratio_pct__future|reporting_months__future|maintenance_conflict__future|operating_definition_regime__future|prior_year|target_year,maintenance_ratio_pct__prior|maintenance_conflict__prior|maintenance_ratio_pct__future|maintenance_conflict__future,read
Experiment 2/results/pooled_and_equal_year_summary.csv,48.0,18.0,target|history|spec|model|n|MAE|RMSE|R2|folds|macro_MAE|macro_RMSE|macro_R2|MAE_years_won|RMSE_years_won|both_years_won|persistence_MAE|persistence_RMSE|consistent_vs_persistence,,read
Experiment 2/results/tree_split_variables.csv,315.0,6.0,target|history|test_year|spec|feature|disaster_feature,,read
Experiment 2/results/ridge_coefficients.csv,1933.0,10.0,target|history|test_year|spec|feature|ridge_alpha|tuning_mode|coefficient_per_training_sd|training_mean|training_sd,,read
Experiment 2/results/exclusions_by_target_year.csv,72.0,4.0,target|target_year|exclusion_reason|rows,,read
Experiment 2/results/ablation_summary.csv,36.0,10.0,target|history|model|augmented|reference|folds|MAE_years_improved|mean_annual_MAE_improvement|RMSE_years_improved|mean_annual_RMSE_improvement,,read
Experiment 2/data/fiscal_panel_v2/cell_lineage.csv,26780.0,16.0,council_key|year_start|variable|raw_value|normalized_value|normalization_factor|source_status|source_file|source_sheet|source_cell|source_header|source_url|source_sha256|release_date|current_vintage_availability|retrieved_date,release_date|retrieved_date,read
Experiment 2/data/fiscal_panel_v2/publication_date_audit.csv,13.0,8.0,measurement_year|period_end|report_release_upper_bound|exact_publication_date|evidence|status|current_archive_retrieval_date|current_upload_path_not_release_date,exact_publication_date|current_archive_retrieval_date|current_upload_path_not_release_date,read
Experiment 2/data/fiscal_panel_v2/vintage_discrepancies.csv,2.0,9.0,council_key|year_start|variable|olg_archive_value|later_comparative_value|later_report_vintage|source_url|source_location|resolution,,read
Experiment 2/data/fiscal_panel_v2/temporal_availability_audit.csv,41921.0,12.0,council_key|target_year|forecast_cutoff|measurement_year|variable|value|availability_status|verified_ex_ante|report_release_upper_bound|source_file|source_location|reason,,read
Experiment 2/data/fiscal_panel_v2/forecast_design_eligibility.csv,1133.0,14.0,council_key|prior_year|event_year|target_year|forecast_cutoff|fiscal_pair_available|cash_pair_available|maintenance_pair_available|event_exposure_values_available|fiscal_and_exposure_candidate|strict_ex_ante_ready|prior_financial_vintage_verified|exposure_publication_date_verified|reason,maintenance_pair_available|fiscal_and_exposure_candidate|exposure_publication_date_verified,read
Experiment 2/data/fiscal_panel_v2/council_selection.csv,128.0,7.0,council_key|council_name|included|in_2015_full_year_list|reason|boundary_certification|evidence,,read
Experiment 2/data/fiscal_panel_v2/unit_conversion_rules.csv,260.0,7.0,year_start|variable|header|excel_column|factor|source_unit|source_file,,read
Experiment 2/data/fiscal_panel_v2/dated_ex_ante_policy.csv,8.0,7.0,target_year|announcement_date|announced_target_fag_advance_pct|source_url|source_location|caveat|available_before_target,announcement_date,read
Experiment 2/data/fiscal_panel_v2/coverage_by_council.csv,103.0,6.0,council_key|total_years|operating_years|cash_comparable_years|maintenance_eligible_years|new_years,maintenance_eligible_years,read
Experiment 2/data/fiscal_panel_v2/council_crosswalk.csv,1716.0,9.0,year_start|source_name|council_key|excel_row|source_file|sheet|source_url|match_method|included_council,,read
Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,1339.0,86.0,council_key|council_name|year_start|financial_year|period_start|period_end|reporting_months|reporting_period_evidence|source_file|source_sheet|source_excel_row|historical_extension|operating_ratio_pct|cash_cover_reported_months|current_ratio|own_source_pct|grants_pct|debt_service_cover|debt_service_ratio_pct|actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|total_revenue_including_capital_aud|total_expenses_aud|result_before_capital_aud|residential_rates_aud|farmland_rates_aud|business_rates_aud|mining_rates_aud|population|area_km2|road_reported_km|cash_cover_months|cash_definition_status|operating_definition_regime|debt_service_cover_requires_review|road_scope|road_km|maintenance_gap_aud|maintenance_calculated_pct|maintenance_difference_pp|maintenance_conflict|maintenance_ratio_pct|maintenance_basis|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_source_file|fesm_excel_total_row|fesm_status|boundary_change_flag|boundary_compatibility|physical_flood_status|verified_zero_all_disaster_exposure|bushfire_declared_event_count|bushfire_agrns|bushfire_declaration_status|flood_declared_event_count|flood_agrns|flood_declaration_status|all_declared_event_count|all_declaration_status|source_list_disagreement_count|open_ended_onset_event_count|known_prior_year_carryover_count|prior_fy_declared_event_count|direct_infrastructure_damage_documented|direct_infrastructure_evidence_ids|exposure_coverage_status|rates_annual_charges_aud|user_charges_fees_aud|other_revenue_aud|operating_grants_aud|capital_grants_aud|interest_investment_aud|employee_cost_aud|materials_services_aud|borrowing_cost_aud|depreciation_impairment_aud|other_expense_aud|statement_total_revenue_aud|statement_total_expenses_aud|operating_revenue_ex_capital_aud|candidate_only|strict_asof_predictor_panel,actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|maintenance_gap_aud|maintenance_calculated_pct|maintenance_difference_pp|maintenance_conflict|maintenance_ratio_pct|maintenance_basis|candidate_only,read
Experiment 2/data/fiscal_panel_v2/potential_forward_folds.csv,33.0,8.0,scenario|test_target_year|training_rows|training_distinct_target_years|test_rows|passes_existing_100_train_rows|strict_asof_ready|caveat,,read
Experiment 2/data/fiscal_panel_v2/verified_ex_ante_features.csv,824.0,4.0,council_key|target_year|forecast_cutoff|announced_target_fag_advance_pct,,read
Experiment 2/data/fiscal_panel_v2/coverage_by_forecast_year.csv,11.0,7.0,target_year|councils|fiscal_pairs|cash_pairs|maintenance_pairs|fiscal_exposure_pairs|strict_ex_ante_pairs,maintenance_pairs,read
Experiment 2/data/fiscal_panel_v2/maintenance_conflicts.csv,7.0,7.0,council_key|financial_year|actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|maintenance_calculated_pct|maintenance_difference_pp,actual_maintenance_aud|required_maintenance_aud|maintenance_reported_pct|maintenance_calculated_pct|maintenance_difference_pp,read
Experiment 2/data/fiscal_panel_v2/coverage_by_year_variable.csv,481.0,7.0,year_start|financial_year|variable|councils_in_subset|observed|missing|extension,,read
Experiment 2/data/fiscal_panel_v2/variable_dictionary.csv,86.0,7.0,variable|unit|definition|caveat|measurement_role|predictor_approval|source,,read
Experiment 2/data/fiscal_panel_v2/detailed_component_lineage.csv,155.0,16.0,council_key|year_start|financial_year|component|raw_value|source_unit|value_aud|source_id|source_url|source_location|source_header|report_vintage|definition_caveat|evidence_type|authorised_for_issue_date|exact_publication_date,authorised_for_issue_date|exact_publication_date,read
Experiment 2/data/fiscal_panel_v2/v1_overlap_differences.csv,4.0,7.0,council_key|year_start|variable|v1_value|v2_value|difference|status,,read
Experiment 2/data/disaster_exposure_v2/fesm_2016_source_cells.csv,515.0,9.0,LGA|Severity Class|Definition|Area (Ha)|Total Area|% of LGA|Total % of LGA|council_key|source_excel_row,,read
Experiment 2/data/disaster_exposure_v2/temporal_availability_audit.csv,4017.0,12.0,council_key|exposure_year_start|target_year_start|target_financial_year|forecast_cutoff|variable|value|reference_period_end|availability_status|ex_ante_certified|evidence|decision,,read
Experiment 2/data/disaster_exposure_v2/fesm_2016_workbook_reconciliation.csv,103.0,27.0,council_key|year_start|financial_year|fesm_burned_ha_raster|fesm_burned_pct_raw_raster|fesm_high_extreme_ha|fesm_class0_ha|fesm_extent_only_ha|fesm_status|source_file|source_member|source_pixel_width_m|source_pixel_height_m|area_method|boundary_vintage|sensor|minimum_fire_size_ha_exclusive|fire_type|source_catalogue_created_utc|ex_ante_eligible_for_historical_forecast|physical_all_fire_zero_verified|raster_bbox_council_area_fraction|fesm_burned_ha_workbook|fesm_burned_pct_raw_workbook|raster_to_workbook_ha_ratio|zero_positive_agreement|decision,,read
Experiment 2/data/disaster_exposure_v2/source_register.csv,17.0,8.0,file|source_url|sha256|bytes|role|acquisition_date_utc|publication_date|publication_status,acquisition_date_utc|publication_date,read
Experiment 2/data/disaster_exposure_v2/spatial_council_crosswalk.csv,103.0,4.0,council_key|LGA_CODE23|LGA_NAME23|area_ha_3308,,read
Experiment 2/data/disaster_exposure_v2/source_cache_inventory.csv,87.0,5.0,file|bytes|sha256|source_url|role,,read
Experiment 2/data/disaster_exposure_v2/coverage_by_council.csv,103.0,8.0,council_key|council_name|fesm_burned_ha_historical_observed_years|fesm_burned_ha_historical_positive_years|bushfire_declared_historical_observed_years|bushfire_declared_historical_positive_years|flood_declared_historical_observed_years|flood_declared_historical_positive_years,,read
Experiment 2/data/disaster_exposure_v2/original_exposure_snapshot_2017_2024.csv,824.0,32.0,council_key|year_start|financial_year|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_source_file|fesm_excel_total_row|fesm_status|boundary_change_flag|boundary_compatibility|physical_flood_status|verified_zero_all_disaster_exposure|bushfire_declared_event_count|bushfire_agrns|bushfire_declaration_status|flood_declared_event_count|flood_agrns|flood_declaration_status|all_declared_event_count|all_agrns|all_declaration_status|source_list_disagreement_count|open_ended_onset_event_count|known_prior_year_carryover_count|prior_fy_declared_event_count|declaration_vs_fesm_scope_difference|candidate_no_new_declared_event|candidate_strict_scoped_comparison|direct_infrastructure_damage_documented|direct_infrastructure_evidence_ids,candidate_no_new_declared_event|candidate_strict_scoped_comparison,read
Experiment 2/data/disaster_exposure_v2/historical_fire_zonal_statistics.csv,515.0,22.0,council_key|year_start|financial_year|fesm_burned_ha|fesm_burned_pct_raw|fesm_high_extreme_ha|fesm_class0_ha|fesm_extent_only_ha|fesm_status|source_file|source_member|source_pixel_width_m|source_pixel_height_m|area_method|boundary_vintage|sensor|minimum_fire_size_ha_exclusive|fire_type|source_catalogue_created_utc|ex_ante_eligible_for_historical_forecast|physical_all_fire_zero_verified|raster_bbox_council_area_fraction,,read
Experiment 2/data/disaster_exposure_v2/historical_extension_2012_2016.csv,515.0,46.0,council_key|council_name|year_start|financial_year|historical_extension|exposure_provenance|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_status|fesm_sensor|fesm_boundary_vintage|fesm_area_method|fesm_source_file|fesm_source_member|fesm_excel_total_row|fesm_asof_forecast_status|declaration_inventory_status|declaration_regime|declaration_source_files|declaration_asof_forecast_status|physical_flood_status|flood_inundated_ha|verified_zero_all_disaster_exposure|bushfire_declared|bushfire_declared_event_count|bushfire_observed_event_count|bushfire_count_is_lower_bound|bushfire_declaration_status|bushfire_event_ids|bushfire_agrns|flood_declared|flood_declared_event_count|flood_observed_event_count|flood_count_is_lower_bound|flood_declaration_status|flood_event_ids|flood_agrns|all_declared|all_declared_event_count|all_observed_event_count|all_count_is_lower_bound|all_declaration_status|all_event_ids|all_agrns,flood_inundated_ha,read
Experiment 2/data/disaster_exposure_v2/declaration_name_crosswalk.csv,181.0,5.0,source_name|normalised_name|council_key|match_status|alias_rule,,read
Experiment 2/data/disaster_exposure_v2/boundary_sensitivity.csv,103.0,5.0,council_key|abs2015_match|symmetric_difference_ha|relative_symmetric_difference_pct|status,,read
Experiment 2/data/disaster_exposure_v2/declaration_council_links.csv,533.0,10.0,record_id|event_id|council_name_source|council_key|in_fixed_103|year_start|hazard_group|include_in_historical_panel|source_file|pdf_page,,read
Experiment 2/data/disaster_exposure_v2/NSW_Disaster_Exposure_V2_candidate.csv,1339.0,46.0,council_key|council_name|year_start|financial_year|historical_extension|exposure_provenance|fesm_burned_ha|fesm_burned_pct_raw|fesm_extent_only_ha|fesm_min_fire_size_ha_exclusive|fesm_status|fesm_sensor|fesm_boundary_vintage|fesm_area_method|fesm_source_file|fesm_source_member|fesm_excel_total_row|fesm_asof_forecast_status|declaration_inventory_status|declaration_regime|declaration_source_files|declaration_asof_forecast_status|physical_flood_status|flood_inundated_ha|verified_zero_all_disaster_exposure|bushfire_declared|bushfire_declared_event_count|bushfire_observed_event_count|bushfire_count_is_lower_bound|bushfire_declaration_status|bushfire_event_ids|bushfire_agrns|flood_declared|flood_declared_event_count|flood_observed_event_count|flood_count_is_lower_bound|flood_declaration_status|flood_event_ids|flood_agrns|all_declared|all_declared_event_count|all_observed_event_count|all_count_is_lower_bound|all_declaration_status|all_event_ids|all_agrns,flood_inundated_ha,read
Experiment 2/data/disaster_exposure_v2/coverage_by_year.csv,91.0,8.0,year_start|financial_year|variable|councils|positive|zero|unknown|provenance,,read
Experiment 2/data/disaster_exposure_v2/variable_dictionary.csv,46.0,5.0,variable|definition|unit|missingness_rule|scope,,read
Experiment 2/data/disaster_exposure_v2/declaration_event_ledger.csv,111.0,23.0,record_id|source_id|source_file|source_url|pdf_page|reported_event_date|reported_hazard|reported_area|agricultural_only|agrn|declaration_announcement_date|source_first_publication_date|publication_date_status|onset_date_lower_bound|onset_date_upper_bound|reported_end_date|date_precision|year_start|financial_year|hazard_group|event_id|include_in_historical_panel|exclusion_reason,reported_event_date|declaration_announcement_date|source_first_publication_date|publication_date_status|onset_date_lower_bound|onset_date_upper_bound|reported_end_date|date_precision,read
Experiment 2/data/disaster_exposure_v2/source_access_attempts.csv,58.0,5.0,attempt_manifest|url|file|status|error,,read
Experiment 2/data/disaster_exposure_v2/fire_declaration_scope_comparison.csv,159.0,7.0,council_key|year_start|mapped_fire_positive|bushfire_declared|mapped_zero_but_declared|mapped_positive_but_no_listed_declaration|interpretation,,read
Experiment 2/data/disaster_exposure_v2/declaration_inventory_audit.csv,5.0,7.0,year_start|bushfire_events_observed|flood_labelled_events_observed|other_events_observed|source_list_completeness|absent_council_cells|announcement_dates_verified,announcement_dates_verified,read
Experiment 2/data/disaster_exposure_v2/council_subset_103.csv,103.0,7.0,council_key|council_name|included|in_2015_full_year_list|reason|boundary_certification|evidence,,read
Experiment 2/data/disaster_exposure_v2/sources/nema_old_attempt_2.csv,,,,,"ParserError: Error tokenizing data. C error: Expected 1 fields in line 11, saw 2
"
Experiment 2/data/disaster_exposure_v2/sources/nema_old_attempt_1.csv,,,,,"ParserError: Error tokenizing data. C error: Expected 1 fields in line 11, saw 2
"
Experiment 2/data/disaster_exposure_v2/sources/nema_old_attempt_0.csv,,,,,"ParserError: Error tokenizing data. C error: Expected 1 fields in line 11, saw 2
"
Experiment 2/data/disaster_exposure_v2/sources/nema_drfa.csv,2475.0,15.0,Location_Name|Location_Type|Location_code|STATE|event_name|agrn|cat_A|cat_B|cat_C|cat_D|highest_drfa_category_group|AGDRP|DRA|hazard_type|disaster_start_date,disaster_start_date,read
Experiment 2/data/disaster_exposure_v2/sources/nema_2024.csv,,,,,"ParserError: Error tokenizing data. C error: Expected 1 fields in line 11, saw 2
"
outputs/experiment3_crowdout/comparison_candidates.csv,306.0,47.0,treated_council_key|event_year|candidate_council_key|pre_only_distance|distance_features|feature_count|same_prior_classification|screen_status|event_declared|event_burned_ha|event_fire_status|event_physical_flood_status|post_window_any_declared|post_window_coverage_years|region_status|primary_outcome_comparable|causal_control_eligible|candidate_pre_classification|treated_pre_classification|candidate_pre_prior_year|treated_pre_prior_year|candidate_pre_pre_maintenance_years|treated_pre_pre_maintenance_years|candidate_pre_maintenance_level_log|treated_pre_maintenance_level_log|candidate_pre_maintenance_trend_log_per_year|treated_pre_maintenance_trend_log_per_year|candidate_pre_cash_cover_months|treated_pre_cash_cover_months|candidate_pre_operating_ratio_pct|treated_pre_operating_ratio_pct|candidate_pre_current_ratio|treated_pre_current_ratio|candidate_pre_own_source_pct|treated_pre_own_source_pct|candidate_pre_debt_service_cover|treated_pre_debt_service_cover|candidate_pre_population_log|treated_pre_population_log|candidate_pre_road_km_log|treated_pre_road_km_log|candidate_pre_prior_burn_log|treated_pre_prior_burn_log|candidate_pre_prior_declared_years|treated_pre_prior_declared_years|candidate_rank|selected_for_document_review,candidate_council_key|candidate_pre_classification|candidate_pre_prior_year|candidate_pre_pre_maintenance_years|treated_pre_pre_maintenance_years|candidate_pre_maintenance_level_log|treated_pre_maintenance_level_log|candidate_pre_maintenance_trend_log_per_year|treated_pre_maintenance_trend_log_per_year|candidate_pre_cash_cover_months|candidate_pre_operating_ratio_pct|candidate_pre_current_ratio|candidate_pre_own_source_pct|candidate_pre_debt_service_cover|candidate_pre_population_log|candidate_pre_road_km_log|candidate_pre_prior_burn_log|candidate_pre_prior_declared_years|candidate_rank,read
outputs/experiment3_crowdout/source_provenance.csv,35.0,15.0,source_id|url|council_key|kind|retrieved_at_utc|http_status|resolved_url|last_modified_header|local_file|sha256|status|pages|publication_date_verified|http_last_modified_is_publication_date|review_channel,publication_date_verified|http_last_modified_is_publication_date,read
outputs/experiment3_crowdout/reconstruction_expenditure_evidence.csv,17.0,22.0,evidence_id|source_id|council_key|year_start|financial_year|field|value|value_status|raw_value|raw_wording|unit|page_or_table|accounting_category|asset_scope|verification_status|confidence|document_date|primary_eligible|eligibility_reason|source_url|source_local_file|source_sha256,document_date,read
outputs/experiment3_crowdout/document_search_audit.csv,569.0,4.0,source_id|pdf_page|terms|review,,read
outputs/experiment3_crowdout/measurement_missingness.csv,144.0,8.0,council_key|year_start|field|value|status|reason|evidence_ids|review_status,,read
outputs/experiment3_crowdout/routine_maintenance_evidence.csv,20.0,22.0,evidence_id|source_id|council_key|year_start|financial_year|field|value|value_status|raw_value|raw_wording|unit|page_or_table|accounting_category|asset_scope|verification_status|confidence|document_date|primary_eligible|eligibility_reason|source_url|source_local_file|source_sha256,document_date,read
