source_file,pdf_page,topic,context,interpretation
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,7,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 0 Total Operating Revenue 0.0% 0 0 0 0 Operating Expenditure 190,828 190,828 280010 Various Casino Swi",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,8,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 0 220010 Various Public Libraries Revenue 0.0% 0 0 0 0 1,273,441 1,276,647 230010 Various Richmond Upp",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,9,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 1,172,806 1,172,806 240010 Various Fire Control Revenue 3.7% 1,216,032 1,249,088 1,283,050 1,317,944 442",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,10,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) 45,237 45,237 250005 Various Emergency Services Levy -24.0% 34,382 35,242 36,123 37,026 ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,11,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 255,814 255,814 330010 Various Casino Cemetery 3.0% 263,488 271,392 279,535 287,920 34,068 34,068 330020",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,12,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 32,867 32,867 290000 Various Sports Grounds Revenue 3.0% 33,853 34,869 35,915 36,992 39,827 89,827 29010",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,13,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Sports Grounds - Evans Head 35,283 35,283 290400 Various Paddon/Coast Guard Park 1.3% 35",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,14,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Parks - Evans Head 2,319 2,319 300400 Various Airforce Beach 4.4% 2,420 2,483 2,552 2,62",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,15,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Public Toilets 62,428 62,428 340010 3330 Casino 2.1% 63,736 65,362 67,192 69,076 8,715 8",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,16,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 5,415 5,415 270005 1180 Casino Art Gallery 3.0% 5,577 5,744 5,916 6,093 762 762 270010 1180 Casino Band ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,17,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Indirect Expenditure 139,195 139,195 270991 3998 Activity Based Costing - Expense 7.9% 1",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,18,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 543,227 543,227 370000 0480 Urban Local Roads -37.6% 338,778 272,552 265,590 138,680 0 9,350 370075 0590",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,19,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Indirect Expenditure 366,713 366,713 370991 3998 Activity Based Costing - Expense 8.2% 3",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,20,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Unsealed Roads Maintenance Unsealed Grading 483,038 483,038 430008 4221 Lower River 1.4%",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,21,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Street Lighting (cont) 2,535 2,535 470050 3455 Rappville -27.1% 1,849 1,941 2,038 2,140 ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,22,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 0 Total Operating Revenue 0.0% 0 0 0 0 Operating Expenditure Communications and Marketing 51,842 51,84",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,23,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 1,800 2,287 260100 0370 Contribution - Youth Week -100.0% 0 0 0 0 1,800 2,287 Total Operating Revenue -1",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,24,revision,"Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 95,000 97,000 Economic Development -100.0% 0 0 0 0 28,766 64,254 Tourism -31.1% 19,819 40,414 21,027 41,",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,25,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 95,000 95,000 170035 0590 Paddock to Plate -100.0% 0 0 0 0 0 2,000 170023 0590 Small Business Month 0.0%",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,26,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 5,766 41,254 170200 0460 Tourism Revenue 191.7% 16,819 37,324 17,844 38,379 3,000 3,000 170300 1180 Wood",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,27,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue Planning & Development Services 60,000 60,000 320100 0020 Advertising Fees 3.0% 61,800 63,654 65,564 67,",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,28,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Indirect Expenditure 500 500 320990 3999 Depreciation 20.0% 600 500 500 500 984,438 984,",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,29,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 157,574 157,574 510010 0920 Casino Depot Stockpile 3.0% 162,302 167,171 172,187 177,353 8,487 8,487 5100",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,30,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Woodview Quarry Indirect Expenditure 92,121 92,121 530991 3998 Activity Based Costing - ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,31,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 10,000 10,000 190010 0020 Advertising Fees 0.0% 10,000 10,000 10,000 10,000 47,213 47,213 190010 0795 LI",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,32,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) 0 20,000 190016 3455 Effluent Management Review 0.0% 0 0 0 0 5,376 5,376 190030 3715 All",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,33,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 87,418 591,284 200000 0870 Private Works Revenue 3.0% 90,041 92,742 95,524 98,390 87,418 591,284 Total O",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,34,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 0 Total Operating Revenue 0.0% 0 0 0 0 Operating Expenditure 2,822 2,822 180105 3330 Property - Casino",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,35,revision,"Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 7,168,176 7,435,579 Waste Management 5.7% 7,578,321 7,932,733 8,250,929 8,560,679 208,947 208,947 Stormw",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,36,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue Waste Collection Charges 5,559,461 5,559,461 140000 0030 Annual Charges 4.5% 5,811,865 6,113,285 6,376,8",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,37,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) 73,185 73,185 140160 3025 Bora Ridge Transfer Station -72.4% 20,187 20,766 21,192 16,630",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,38,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 208,947 208,947 350010 0030 Stormwater Revenue -2.7% 203,240 204,256 205,277 206,303 208,947 208,947 Tot",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,39,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 6,828,019 6,828,019 490001 1800 Annual & User Charges 5.5% 7,202,680 7,567,164 7,950,021 8,352,173 28,80",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,40,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Water Reservoirs 14,437 14,437 495170 3200 Operations 11.7% 16,127 16,880 17,679 18,517 ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,41,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 8,602,657 8,602,657 500001 1900 Rates & Annual Charges 4.0% 8,945,393 9,215,105 9,492,997 9,779,317 29,3",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,42,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Pump Stations 182,642 182,642 505200 3455 Operations 4.3% 190,405 195,021 200,392 205,92",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,43,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) 688,553 688,553 505976 3070 Interest Expense -10.9% 613,774 534,748 451,466 362,880 Indi",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,44,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 12,678 5,388 110012 0290 Evans Head Break wall Cleaning -100.0% 0 0 0 0 8,917 0 110013 0290 Evans Head B",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,45,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue RV Flood Emergency Management Revenue 140,000 0 160104 0590 Restoration of burnt riparian areas -100.0% ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,46,revision,"Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 413,153 413,153 Governance & Advocacy 3.0% 425,452 438,193 451,314 464,829 0 0 Customer Service 0.0% 0 0",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,46,deferral,"4 Capital Movements Add: Capital Grants and Contributions 0 0 0 0 Add: Loan Funds Used 0 0 0 0 Add: Deferred Debtor Repayments 1,833 1,888 1,945 2,003 Add: Asset Sales 453,162 477,899 598,218 518,645 Add: Transfer from Reserves 1,013,573 51,554 194,083 82,139 Less: Capital Expenditure 3,154,071 1,940,986 2,719,978 2,364,120 Less: Loan Repaymen",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,47,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue Corporate Administration 4,739 4,739 560010 0010 Activity Based Costing - Income 1.0% 4,785 4,905 5,028 ",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,48,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) Project Management Office 3,000 3,000 565010 3025 Administration Expenses 1.0% 3,030 3,1",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,48,deferral,"58) Capital Movements Add: Capital Grants & Contributions 0 0 0 0 Add: Loan Funds Used 0 0 0 0 Add: Deferred Debtor Repayments 1,833 1,888 1,945 2,003 Add: Asset Sales 0 0 0 0 Add: Transfer from Restricted Assets 0 0 0 0 Less: Asset Acquisition 0 0 0 0 Less: Loan Repayments 0 0 0 0 Less: Transfer to Restricted Assets 0 0 0 0 Program Cash Resul",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,49,revision,ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 0 630100 0290 Customer Service 0.0% 0 0 0 0 0 0 Total Operating Revenue 0.0% 0 0 0 0 Operating Expendi,Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,50,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 4,493 4,493 600010 0010 Activity Based Costing - Income 1.0% 4,536 4,649 4,765 4,884 0 2,500 600010 0290",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,51,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 3,688 3,688 610010 0220 Contributions - Early Reportng Incentive 3.0% 3,799 3,913 4,030 4,151 2,060 2,06",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,52,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) RVC Meetings 1,909 1,909 610045 3125 Consultative Committee 1.9% 1,946 1,986 2,035 2,087",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,53,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue 0 73,592 610020 0360 Contributions - WHS Incentive Payments 0.0% 0 0 0 0 0 73,592 Total Operating Revenu",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,54,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue Financial Services 16,750 16,750 570010 0010 Activity Based Costing - Income 2.5% 17,170 17,599 18,039 1",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,55,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Revenue Engineering Support Services 4,500 4,500 640010 0290 Contributions - Other 233.3% 15,000 4,500 4,500 4,5",Search hit only; not a verified outcome or complete document series
outputs/experiment3_crowdout/sources/richmond_plan2022_pages.json,56,revision,"ond Valley Council Operational Plan 2021/2022 including Forward Financial Estimates Original Budget Revised Budget Budget Budget Budget Budget 2020/2021 31-Mar-21 Project Activity Description 2021/2022 2022/2023 2023/2024 2024/2025 Operating Expenditure (continued) 69,358 69,358 660300 3025 Works Depot - Evans Head 3.1% 71,494 73,538 75,684 77,896 Indi",Search hit only; not a verified outcome or complete document series
