council_key,year_start,field,value,status,reason,evidence_ids,review_status
eurobodalla,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E032;E033;E034;E035,targeted document review
eurobodalla,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E032;E033;E034;E035,targeted document review
eurobodalla,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E032;E033;E034;E035,targeted document review
eurobodalla,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E032;E033;E034;E035,targeted document review
eurobodalla,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
eurobodalla,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2016,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2016,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2016,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
griffith,2016,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2017,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2017,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2017,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
griffith,2017,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
griffith,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E037,targeted document review
griffith,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E037,targeted document review
griffith,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E037,targeted document review
griffith,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E037,targeted document review
griffith,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
griffith,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
griffith,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
griffith,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2016,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2016,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2016,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2016,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2017,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2017,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2017,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2017,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
kiama,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
kiama,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
lismore,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
lismore,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
lismore,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E001;E004;E007;E010,targeted document review
lismore,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E001;E004;E007;E010,targeted document review
lismore,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E001;E004;E007;E010,targeted document review
lismore,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E001;E004;E007;E010,targeted document review
lismore,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E002;E005;E008;E021;E022;E023;E024;E025,targeted document review
lismore,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E002;E005;E008;E021;E022;E023;E024;E025,targeted document review
lismore,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E002;E005;E008;E021;E022;E023;E024;E025,targeted document review
lismore,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E002;E005;E008;E021;E022;E023;E024;E025,targeted document review
lismore,2022,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E003;E006;E009;E026;E027;E028,targeted document review
lismore,2022,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E003;E006;E009;E026;E027;E028,targeted document review
lismore,2022,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E003;E006;E009;E026;E027;E028,targeted document review
lismore,2022,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E003;E006;E009;E026;E027;E028,targeted document review
lismore,2023,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E029;E030,targeted document review
lismore,2023,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E029;E030,targeted document review
lismore,2023,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E029;E030,targeted document review
lismore,2023,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E029;E030,targeted document review
richmondvalley,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E011;E012;E013;E014;E015;E016;E017;E018;E019;E020,targeted document review
richmondvalley,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E011;E012;E013;E014;E015;E016;E017;E018;E019;E020,targeted document review
richmondvalley,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E011;E012;E013;E014;E015;E016;E017;E018;E019;E020,targeted document review
richmondvalley,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E011;E012;E013;E014;E015;E016;E017;E018;E019;E020,targeted document review
richmondvalley,2022,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2022,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2022,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2022,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2023,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2023,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2023,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
richmondvalley,2023,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2018,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2018,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2018,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2018,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2019,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2019,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2019,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2019,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2020,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2020,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2020,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2020,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2021,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E036,targeted document review
waggawagga,2021,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E036,targeted document review
waggawagga,2021,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,E036,targeted document review
waggawagga,2021,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",E036,targeted document review
waggawagga,2022,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2022,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2022,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2022,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2023,planned_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2023,actual_routine_maintenance_aud,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2023,disaster_reconstruction_expenditure_aud,,unknown,unknown_no_pure_actual_reconstruction_total,,backbone only; no direct year-specific documentary measurement recovered
waggawagga,2023,maintenance_deviation,,missing,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",,backbone only; no direct year-specific documentary measurement recovered
