record_id,council,fiscal_year,evidence_date,measurement_date,publication_or_adoption_date,project_ref,project_name,stage,record_type,field_group,field_name,scope,value_text,reason,budget_basis,original_or_current_budget_aud,carry_forward_aud,variation_aud,revised_budget_aud,actual_aud,committed_aud,actual_plus_committed_aud,capacity_metric,capacity_value,capacity_unit,capacity_scope,planning_application,site_or_address,funding_source,ordinary_recovery_classification,disaster_causation_status,damage_access_status,source_type,evidence_quality,verification_status,certification_effect,model_ready,source_title,source_url,source_locator,notes
BAL-018,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Pop Denison Park Upgrade,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=556100; revised=156100; variation=-400000,Adjustment based on project timing.,March 2019 capital expenditure review,556100,,-400000,156100,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-019,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Wollongbar Sports Fields,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=400000; revised=200000; variation=-200000,Adjustment based on project timing.,March 2019 capital expenditure review,400000,,-200000,200000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-020,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Landfill Improvements,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=100000; revised=3800; variation=-96200,Work cancelled / budget reduced.,March 2019 capital expenditure review,100000,,-96200,3800,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-021,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Landfill Levy Works,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=200000; revised=0; variation=-200000,Transfer to 2019/20.,March 2019 capital expenditure review,200000,,-200000,0,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-022,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Lennox Head Community Centre Refurbishment,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,"Current=187,4000; revised=27400; variation=-160000",Official source contains an apparent numeric typo in current budget; preserve source text.,March 2019 capital expenditure review,"187,4000",,-160000,27400,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-023,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Alstonville Leisure & Entertainment Centre,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=281000; revised=81000; variation=-200000,Transfer/rephase.,March 2019 capital expenditure review,281000,,-200000,81000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-024,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Ballina Indoor Sports Centre Construction,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=8640000; revised=7140000; variation=-1500000,Adjustment based on forecast cash flows.,March 2019 capital expenditure review,8640000,,-1500000,7140000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-025,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Wollongbar Urban Expansion Area Stage 3,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=168700; revised=800000; variation=631300,Increase to reflect forecast expenditure.,March 2019 capital expenditure review,168700,,631300,800000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-026,Ballina Shire Council,2018-19,2019-04-24,,2019-04-24,,Water infrastructure renewal / telemetry candidate,Q3,budget_revision,pre_event_revision_baseline,routine_revision,capital project line,Current=; revised=; variation=,Multiple water-project transfers/deferrals reported in the same review.,March 2019 capital expenditure review,,,,,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_Black_Summer; non_disaster_baseline,not_applicable_pre_event,official_council_agenda,official_primary_source,public_source_verified,establishes_routine_pre_event_rephasing,NO,Ballina capital expenditure review - March 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-april-2019/ordinary/ordinary-agenda-24-april-2019.pdf,Capital expenditure review / project adjustment table,Important negative-control evidence: budget rephasing occurred routinely before the disaster period.
BAL-039,Ballina Shire Council,2018-19,,,,,,,accounting_definition,accounting_comparability,expended_cash_excludes_commitments_accruals,capital expenditure table,Expended This Year is defined on a cash basis and excludes commitments and accruals.,,,,,,,,,,,,,,,,,,,,official_annual_report,official_primary_source,public_source_verified,cash_actual_not_same_as_obligation,NO,Ballina Shire Council Annual Report 2018-19,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2018_2019-resized.pdf,Capital expenditure table notes,
BAL-041,Ballina Shire Council,2018-19,,2019-06-30,2019-11-28,,,,capacity_metric,pre_event_capacity,operating_performance_ratio,,operating_performance_ratio=6.96 percent,,,,,,,,,,operating_performance_ratio,6.96,percent,whole-council audited financial statements,,,,,,,audited_financial_statements,official_audited_source,original_2019_statement_value,candidate_pre_event_predictor_with_publication_date,NO,Ballina General Purpose Financial Statements 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Performance ratios / signed 24 Oct 2019; publicly presented 28 Nov 2019,
BAL-042,Ballina Shire Council,2018-19,,2019-06-30,2019-11-28,,,,capacity_metric,pre_event_capacity,own_source_operating_revenue_ratio,,own_source_operating_revenue_ratio=62.96 percent,,,,,,,,,,own_source_operating_revenue_ratio,62.96,percent,whole-council audited financial statements,,,,,,,audited_financial_statements,official_audited_source,original_2019_statement_value,candidate_pre_event_predictor_with_publication_date,NO,Ballina General Purpose Financial Statements 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Performance ratios / signed 24 Oct 2019; publicly presented 28 Nov 2019,
BAL-043,Ballina Shire Council,2018-19,,2019-06-30,2019-11-28,,,,capacity_metric,pre_event_capacity,unrestricted_current_ratio,,unrestricted_current_ratio=3.21 times,,,,,,,,,,unrestricted_current_ratio,3.21,times,whole-council audited financial statements,,,,,,,audited_financial_statements,official_audited_source,original_2019_statement_value,candidate_pre_event_predictor_with_publication_date,NO,Ballina General Purpose Financial Statements 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Performance ratios / signed 24 Oct 2019; publicly presented 28 Nov 2019,
BAL-044,Ballina Shire Council,2018-19,,2019-06-30,2019-11-28,,,,capacity_metric,pre_event_capacity,debt_service_cover_ratio,,debt_service_cover_ratio=2.65 times,,,,,,,,,,debt_service_cover_ratio,2.65,times,whole-council audited financial statements,,,,,,,audited_financial_statements,official_audited_source,original_2019_statement_value,candidate_pre_event_predictor_with_publication_date,NO,Ballina General Purpose Financial Statements 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Performance ratios / signed 24 Oct 2019; publicly presented 28 Nov 2019,
BAL-045,Ballina Shire Council,2018-19,,2019-06-30,2019-11-28,,,,capacity_metric,pre_event_capacity,cash_expense_cover_ratio,,cash_expense_cover_ratio=12.69 months,,,,,,,,,,cash_expense_cover_ratio,12.69,months,whole-council audited financial statements,,,,,,,audited_financial_statements,official_audited_source,original_2019_statement_value,candidate_pre_event_predictor_with_publication_date,NO,Ballina General Purpose Financial Statements 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Performance ratios / signed 24 Oct 2019; publicly presented 28 Nov 2019,
BAL-046,Ballina Shire Council,2018-19,,2019-06-30,,,,,capacity_restatement_conflict,capacity_timing,own_source_ratio_restatement,,"Later statement restates FY2018-19 own-source ratio to 63.71%, versus 62.96% in the original 2019 statement.",,,,,,,,,,own_source_operating_revenue_ratio,63.71,percent,whole-council,,,,,,,later_audited_financial_statements,official_audited_source,restated_value_conflicts_with_original_vintage,preserve_original_and_restated_vintages,NO,Ballina later audited financial statements with restated comparatives,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2019_2020_web-version.pdf,Comparative performance ratios,
BAL-047,Ballina Shire Council,2018-19,,2019-06-30,,,,,capacity_restatement_conflict,capacity_timing,unrestricted_current_ratio_restatement,,Later comparative reports FY2018-19 unrestricted current ratio 3.29x; original numerator/denominator imply about 3.21x.,,,,,,,,,,unrestricted_current_ratio,3.29,times,whole-council,,,,,,,later_audited_financial_statements,official_audited_source,restated_value_conflicts_with_original_vintage,preserve_original_and_restated_vintages,NO,Ballina later audited financial statements with restated comparatives,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2019_2020_web-version.pdf,Comparative performance ratios,
BAL-048,Ballina Shire Council,2018-19,2019-10-24,2019-06-30,2019-11-28,,,,capacity_publication_timing,capacity_timing,financial_statement_availability,,Financial statements signed 24 Oct 2019 and publicly presented 28 Nov 2019.,,,,,,,,,,,,,,,,,,,,official_council_records,official_primary_source,public_source_verified,operational_availability_depends_on_event_date,NO,Ballina 2019 financial statement presentation records,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/financial-statements-2018-19.pdf,Statement signing / council presentation timing,
BAL-007,Ballina Shire Council,2019-20,2020-05-28,,,6532-related scheme,Wollongbar District Park including Skate Park,,planning_identity,project_identity,DA/site/scope,,DA 2020/23 approved for public amenities/facilities and a skate park within the district park.,,,,,,,,,,,,,,2020/23,"93 Rifle Range Road and 55 Avalon Avenue, Wollongbar",,ordinary_candidate,not_applicable,,,official_council_minutes,carried_forward_from_first_public_source_pass,separate_later_asset_scope,NO,DA 2020/23 - Wollongbar District Park,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2020/ordinary-minutes-28-april-2020.pdf,Resolution 280520/3,The source file name says 28 April but the document text records the meeting date as 28 May 2020. Preserve this metadata inconsistency.
BAL-009,Ballina Shire Council,2019-20,2020-01-23,,,2160,Wollongbar Skate Park,,budget_revision,budget_timing,Q2 deferral,,"Current budget 450,000; revised 50,000; variation -400,000; comment: Defer to 2020/21.",,current budget at December 2019 review,450000,,-400000,50000,,,,,,,,,,,ordinary_candidate,not_established; source gives no disaster reason,,,official_council_agenda,carried_forward_from_first_public_source_pass,decision_confirmed_not_cause,NO,Capital Expenditure - 31 December 2019 Review,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2020/ordinary-meeting-agenda-23-january-2020.pdf,Item 9.9; p. 68,A contemporaneous deferral during Black Summer is not itself evidence that the bushfire caused the deferral.
BAL-010,Ballina Shire Council,2019-20,2020-06-30,,,2160,Wollongbar Skate Park,,annual_capital_row,budget_chain,year_end,,"Original estimate 450,000; approved variations -400,000; latest estimate 50,000; expended 10,100; planning application approved.",,original annual estimate,450000,,-400000,50000,10100,,,,,,,,,,ordinary_candidate,no_disaster_reason_stated,,,official_annual_report,carried_forward_from_first_public_source_pass,numeric_chain_supported_but_identity_unresolved,NO,Ballina Shire Council Annual Report 2019-20,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2019_2020_web-version.pdf,Capital Expenditure - Open Spaces row 2160,
BAL-011,Ballina Shire Council,2019-20,2020-04-08,,,2160,Wollongbar Skate Park,,forward_budget,budget_timing,2020-21 planned allocation,,"2019/20 50,000; 2020/21 400,000. Council states the funds were largely carried forward to reflect likely timing of expenditure.",,forward capital program,50000,,,400000,,,,,,,,,,,ordinary_candidate,timing_reason_only; disaster cause not stated,,,official_finance_committee_agenda,carried_forward_from_first_public_source_pass,supports_cross_year_budget_link,NO,Finance Committee Agenda - 8 April 2020,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2020/080420-finance-committee-agenda-8-april-2020.pdf,pp. 74 and 77,Useful for connecting the 2019/20 deferral to the 2020/21 adopted allocation.
BAL-013,Ballina Shire Council,2019-20,2020-01-23,,,6532,Wollongbar District Park,,budget_revision,budget_timing,Q2 deferral,,"Current budget 1,002,000; revised 50,000; variation -952,000; comment: Defer to 2020/21.",,current budget at December 2019 review,1002000,,-952000,50000,,,,,,,,2020/23 later,,,ordinary_candidate,not_established; source gives no disaster reason,,,official_council_agenda,carried_forward_from_first_public_source_pass,decision_confirmed_not_cause,NO,Capital Expenditure - 31 December 2019 Review,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2020/ordinary-meeting-agenda-23-january-2020.pdf,Item 9.9; p. 68,
BAL-014,Ballina Shire Council,2019-20,2020-06-30,,,6532,Wollongbar District Park,,annual_capital_row,budget_chain,year_end,,"Original estimate 1,002,000; approved variations -952,000; latest estimate 50,000; expended 28,800; planning application approved.",,original annual estimate,1002000,,-952000,50000,28800,,,,,,,2020/23,,,ordinary_candidate,no_disaster_reason_stated,,,official_annual_report,carried_forward_from_first_public_source_pass,numeric_chain_supported,NO,Ballina Shire Council Annual Report 2019-20,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/council-documents/annual-report-2019_2020_web-version.pdf,Capital Expenditure - Open Spaces row 6532,
BAL-027,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Depot Solar,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=120000; revised=0; variation=-120000,Deferred/rephased.,September 2019 capital expenditure review,120000,,-120000,0,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
BAL-028,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Airport Carpark Solar,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=1500000; revised=250000; variation=-1250000,Rephased.,September 2019 capital expenditure review,1500000,,-1250000,250000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
BAL-029,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Airport Baggage Handling,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=1000000; revised=250000; variation=-750000,Rephased.,September 2019 capital expenditure review,1000000,,-750000,250000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
BAL-030,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Wollongbar Urban Expansion Area Stage 3,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=5151500; revised=500000; variation=-4651500,Rephased.,September 2019 capital expenditure review,5151500,,-4651500,500000,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
BAL-031,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Lennox Head Treatment Plant Membrane,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=300000; revised=0; variation=-300000,Deferred.,September 2019 capital expenditure review,300000,,-300000,0,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
BAL-032,Ballina Shire Council,2019-20,2019-10-24,,2019-10-24,,Alstonville Treatment Plant Master Plan,Q1,budget_revision,pre_event_revision_baseline,Q1_revision,capital project line,Current=247900; revised=67900; variation=-180000,Rephased.,September 2019 capital expenditure review,247900,,-180000,67900,,,,,,,,,,,ordinary_candidate_or_nonrecovery_capital,pre_or_early_event_timing; no project-specific disaster cause stated,unverified,official_council_agenda,official_primary_source,public_source_verified,establishes_large_routine_rephasing_before_Q2,NO,Ballina capital expenditure review - September 2019,https://www.ballina.nsw.gov.au/files/assets/public/v/1/council/documents/agenda-and-minutes/2019/24-october-2019/ordinary/241019_ordinary_agenda_24_october_2019.pdf,Capital expenditure project adjustment table,
