revision_id,project_id,year_start,stage,revision_aud,before_revision_aud,after_revision_aud,reason,source_id,source_page
SV_Q3_batlow_caravan,snowyvalleys:candidate:batlow_caravan,2021,Q3,-2700000.0,,,"Candidate name match to Itinerant Worker Accommodation; land claim, contaminated ground and industry delivery shortages; scope join unverified. Source note48/4. Negative means reduced annual expenditure; minutes adoption clause conflict retained.",snowy_q3_2022,10
SV_Q2_fitzroy_toilets,snowyvalleys:candidate:fitzroy_toilets,2021,Q2,300000.0,,,Recognition of capital expenditure in Q2; source funding-effect sign reversed to positive spending addition; original-baseline conflict,snowy_q2_2021,PDF8;note13
SV_Q2_khancoban_toilets,snowyvalleys:candidate:khancoban_toilets,2021,Q2,161818.0,,,Recognition of capital expenditure in Q2; source funding-effect sign reversed to positive spending addition; original-baseline conflict,snowy_q2_2021,PDF8;note16
SV_Q1_tumut_aerodrome,snowyvalleys:candidate:tumut_aerodrome,2021,Q1,-3500000.0,,,Partial works deferred to next year due to CASA technical approval delays; candidate name match; not evidence of disaster-caused displacement,snowy_q1_2021,PDF9;note25
BA2020_Q2_6532,ballina:reference:6532,2020,Q2,-200000.0,973000.0,773000.0,Deferral to 2021/22,ballina_minutes_jan2021,13
BA2020_Q2_6531,ballina:reference:6531,2020,Q2,-400000.0,800000.0,400000.0,Deferral to 2021/22,ballina_minutes_jan2021,13
BA2020_Q2_2372,ballina:reference:2372,2020,Q2,-750000.0,936000.0,186000.0,Deferral to 2021/22,ballina_minutes_jan2021,13
BA2020_Q3_6532,ballina:reference:6532,2020,Q3,130000.0,773000.0,903000.0,Transfer from Amenities,ballina_minutes_apr2021,11
BA2020_Q3_4586,ballina:reference:4586,2020,Q3,-100000.0,175000.0,75000.0,LRCI deferral to 2021/22,ballina_minutes_apr2021,11
BA2020_Q3_6531,ballina:reference:6531,2020,Q3,-150000.0,400000.0,250000.0,Deferral to 2021/22,ballina_minutes_apr2021,11
RV_P008_2022Q1,richmondvalley:candidate:P008,2022,Q1,-483772.0,,,Reported recommended capital expenditure transfer to2023/24; weather and contractor availability; adoption not verified,richmond_q1_202223,PDF13-14;printed11-12
BA2017_Q3_2160,ballina:reference:2160,2017,Q3,-450000.0,500000.0,50000.0,Transfer to2018/19; planning consent pending per agendaPDF72,ballina_apr2018_minutes,PDF9;260418/18
